none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
3.4743125775588,-3.27590065599099,0.300685740481392,-0.74007344953537,-1.50739776968621,-2.27006985639581,5,1,2,3,4,0.7,1,0,1,experiment_gam2,B,100
3.47431245990868,-0.412862764440902,-0.326884035193263,-3.05331339258005,-6.19261834388031,0.436458207658402,3,2,4,5,1,0.7,1,0,2,experiment_gam2,B,100
3.47431856920971,0.131421302416223,5.56565844463226,-4.82412097992983,12.8642982540302,-5.40231763274911,3,2,4,1,5,0.7,1,0,3,experiment_gam2,B,100
3.47431465895247,0.929292206376199,-1.18903715713509,-1.7624874971408,-0.935518411088535,-0.80220193376132,1,4,5,3,2,0.7,1,0,4,experiment_gam2,B,100
3.47431495209479,1.68305647689333,0.409940372437021,-1.63403038683105,-1.69430256046145,-1.74212360376188,1,2,3,4,5,0.7,1,0,5,experiment_gam2,B,100
3.47432555263874,0.0856541643228148,0.632982612926238,3.68107379182368,4.04556649045302,29.5985032289492,5,4,3,2,1,0.7,1,0,6,experiment_gam2,B,100
3.47431352432141,-4.18372420353374,-0.601263601856631,0.672463467421307,-1.61700256281385,-0.645778192896944,5,2,1,4,3,0.7,1,0,7,experiment_gam2,B,100
3.47432961057148,10.2727015058029,2.86827960183312,-5.73999509812043,28.417372907593,19.2070900964152,3,4,5,1,2,0.7,1,0,8,experiment_gam2,B,100
3.47432087390433,7.21644171791657,-3.46237479852882,-6.0974972478386,11.1421268850754,10.5399067184988,3,4,5,1,2,0.7,1,0,9,experiment_gam2,B,100
3.47431295067401,0.470453274975129,-4.31287703783271,-2.79855436569145,-0.704915283709858,0.00290665443963378,1,5,4,3,2,0.7,1,0,10,experiment_gam2,B,100
3.4743172788073,-2.92543548258519,-4.45051006246181,15.2191243338987,-3.32461898547144,0.717155829367611,3,5,1,4,2,0.7,1,0,11,experiment_gam2,B,100
